,Title,Company,Talking,Cleaning,Food,Building,Organizing,Computers,Numbers,Translating,Machinery,Description,Wage,Link
0,✭CLASS A CDL REGIONAL/MA...,__?__,,,,,,,,,,"MAGNUM COMPANIES ST. CLOUD, MN Apply Here Magnum is looking for an elite driver! We even have a special name for it, Maverick! Are you a driver that likes a diverse schedule? This is a job for you! A Maverick Driver dedicates a week to a terminal that is in need of a Line Haul or P&D Driver; trav...",$30,https://stcloud.craigslist.org/trp/d/saint-cloud-class-cdl-regional-maverick/7317242291.html
1,Cdl A class OTR More tha...,__?__,,,,,,,,,,"CDL-A DRIVERS, America needs YOU! WE NEED YOU! WHAT DO WE OFFER: - 2500-3500$ estimated NET weekly (Our drivers make last month more than a dollar per mile ) - 2020-2022 Freightliner Cascadia & VOLVO Vnl full options - 24 HRS eld support,24 HRS roadside assistance -Running all 48 states, Most off...",~$29,https://stcloud.craigslist.org/trp/d/schaumburg-cdl-class-otr-more-than-1/7317176182.html
2,✭CLASS A CDL REGIONAL DR...,__?__,,,,,,,,,,"MAGNUM COMPANIES St. Cloud, MN Apply Here Magnum a leader in the transportation industry is looking for immediate placement of lass A CDL driver in St cloud. This position will be doing regional runs for Westrock and/or regional lanes out of the Twin Cities to IL, WI, or IA. Average weekly miles ...",~$29,https://stcloud.craigslist.org/trp/d/saint-cloud-class-cdl-regional-driver/7317243473.html
3,CNC Machinist MillLathe,Aerotek,,,,,,,,,X,"Job Description Description: Candidates will be learning how to operate and set up various CNC Machines as well as doing inspections using micrometers, calipers, and blueprints. Looking for all skill levels, but will train someone with no experience, so long as they have mechanical aptitude and a...",~$21,https://www.snagajob.com/jobs/623035305
4,Maintenance Technician,New Flyer of America Inc,X,,,,,X,X,,X,"Location St. Cloud, MN - USA Job Type Full time Business Unit Carfair Composites Job Number 01254 Carfair Composites is a leader in fibre-reinforced plastic (FRP) design and composites technology and has over 600 dedicated team members located in facilities between Winnipeg, MB (Canada), St. Clou...",~$26,https://de.jobsyn.org/fd1a998086054e2680762176379d54d71387
5,Call Center Recruiter Su...,American Red Cross,X,,,,,,,,X,Please use Google Chrome or Mozilla Firefox when accessing Candidate Home. By joining the American Red Cross you will touch millions of lives every year and experience the greatness of the human spirit at its best. Are you ready to be part of the world's largest humanitarian network? Job Descript...,~$35,https://americanredcross.wd1.myworkdayjobs.com/en-US/American_Red_Cross_Careers/job/St-Paul-MN/Apheresis-Telerecruitment-Supervisor_RC40736
6,Small Machines Operator,Aubright LLC,,,,,,,,,X,"Summary: Operates small machines such as saws, hand routers, and jointers and assists in operating CNC and 5-axis routers that cut and shape plastic, wood or other material by performing the following duties. Essential Duties and Responsibilities include the following. Reads job specifications to...",~$12,https://de.jobsyn.org/a0b1d30c060045f9a4f32467ce78c1751387\nmailto:sarah@northmet.com
7,CNC Operator,Aubright LLC,,,,,,,,,X,"Summary: Sets up and operates multi-axis CNC router machine to cut and shape plastic, wood or other material by performing the following duties. Places material and positions work piece on machine bed either manually or by using a hoist and positions and secures it against pins. Compares numerica...",~$20,https://de.jobsyn.org/369719d239a7478b8f548d11333207fa1387\nmailto:sarah@northmet.com
8,Senior Administrative As...,CentraCare Health System,,,,,X,,,,,"Job Description The Senior Administrative Assistant is responsible for providing extensive secretarial and data management support for the Senior Director, Family Birthing section and the departments within the section. Provides lead administrative support to Family Birthing Section Administrativ...",~$25,https://www.snagajob.com/jobs/553467102
9,Occupational Medicine Ac...,CentraCare Health System,,,,,,,,,,"Job Description Midwest Occupational Medicine is looking for a full-time Occupational Medicine Access Assistant to work in our busy clinic. The Occupational Medicine Access Assistant provides service to patients and clients while managing patient and client communication, patient registration, co...",~$17,https://www.snagajob.com/jobs/551811895
10,OTR Company Driver - Reg...,P&B Transportation,,,,,,,,,,"Job Description P&B is seeking talented, hard-working drivers. We focus on providing great benefits and competitive payIf you wish to apply for a driver position with P&B, your qualifications must include:Class A CDLTwo-years driving experienceClean driving recordsDrug testingBenefits package:Pai...",~$30,https://www.snagajob.com/jobs/624491180
11,SAS Part Time Travel Res...,SAS Retail Services,X,,X,,X,X,,,,"Summary SAS Part Time Travel Reset Merchandiser Are you looking to join a team for a fast-growing company that can offer you flexible scheduling, competitive rates, and the possibility for advancement as you move throughout your career? If so, SAS Retail Services has a great opportunity for you!A...",~$11,https://de.jobsyn.org/f6130683f6e84a818368f03a69c520b31387
12,SAS Part Time Travel Res...,SAS Retail Services,X,,X,,X,X,,,,"Summary SAS Part Time Travel Reset Merchandiser Are you looking to join a team for a fast-growing company that can offer you flexible scheduling, competitive rates, and the possibility for advancement as you move throughout your career? If so, SAS Retail Services has a great opportunity for you!A...",~$11,https://de.jobsyn.org/feedffe0d6a2418cbce7f32d5a7068001387
13,Commercial Banking Assis...,Minnwest Bank,X,,,X,X,,,,,"Position Summary/Purpose: As a member of the front of the house team, Banking Assistants (BA) have a critical role in providing a knock-out customer experience and ensuring that our customers are our first priority. BAs facilitate the interaction between the customer and bankers (officers, loan o...",~$24,https://de.jobsyn.org/c64e529cd1204d36a237167e3e9c85fd1387\nmailto:joinourteam@minnwestbankgroup.com
14,Bookkeeper,Twin City Staffing LLC,,,,,X,,,,,Twin City Staffing is hiring an office administration / bookkeeper in the St. Cloud area! This bookkeeper job includes flexible hours and is for a highly-rated customer that offers a great working atmosphere and competitive pay. Join this growing team today! Hours: 7 am - 3:30 pm (flexible start/...,$24,https://de.jobsyn.org/10af439233374ae98b9423fc8a9217e71387\nmailto:recruiting@twincitystaffing.com
